sequence_id	country	partner	subtype	status	date
PG-12-BW-167848|Botswana|Botswana|2012-09	Botswana	Botswana	C		2012-09
PG-12-BW-505813|Botswana|Botswana|2012-12	Botswana	Botswana	31_BC		2012-12
PG-11-BW-833283|Botswana|Botswana|2011-12	Botswana	Botswana	61_BC		2011-12
PG-11-BW-707843|Botswana|Botswana|2011-12	Botswana	Botswana	C		2011-12
PG-12-BW-374876|Botswana|Botswana|2012-04	Botswana	Botswana	08_BC		2012-04
PG-12-BW-427770|Botswana|Botswana|2012-05	Botswana	Botswana	C		2012-05
PG-13-BW-418318|Botswana|Botswana|2013-05	Botswana	Botswana	C		2013-05
PG-12-BW-432337|Botswana|Botswana|2012-04	Botswana	Botswana	C		2012-04
PG-12-BW-486376|Botswana|Botswana|2012-04	Botswana	Botswana	08_BC		2012-04
PG-13-BW-562213|Botswana|Botswana|2013-03	Botswana	Botswana	31_BC		2013-03
PG-11-BW-334558|Botswana|Botswana|2011-12	Botswana	Botswana	F1		2011-12
PG-12-BW-368757|Botswana|Botswana|2012-09	Botswana	Botswana	C		2012-09
PG-12-BW-544732|Botswana|Botswana|2012-09	Botswana	Botswana	C		2012-09
PG-12-BW-323566|Botswana|Botswana|2012-06	Botswana	Botswana	C		2012-06
PG-12-BW-551747|Botswana|Botswana|2012-09	Botswana	Botswana	C		2012-09
PG-13-BW-451626|Botswana|Botswana|2013-03	Botswana	Botswana	08_BC		2013-03
PG-12-BW-381741|Botswana|Botswana|2012-08	Botswana	Botswana	C		2012-08
PG-12-BW-840425|Botswana|Botswana|2012-01	Botswana	Botswana	08_BC		2012-01
PG-12-BW-818464|Botswana|Botswana|2012-04	Botswana	Botswana	08_BC		2012-04
PG-12-BW-314442|Botswana|Botswana|2012-04	Botswana	Botswana	C		2012-04
PG-12-BW-317406|Botswana|Botswana|2012-07	Botswana	Botswana	C		2012-07
PG-12-BW-740727|Botswana|Botswana|2012-10	Botswana	Botswana	C		2012-10
PG-12-BW-765286|Botswana|Botswana|2012-09	Botswana	Botswana	C		2012-09
PG-12-BW-112022|Botswana|Botswana|2012-07	Botswana	Botswana	08_BC		2012-07
PG-12-BW-866404|Botswana|Botswana|2012-08	Botswana	Botswana	08_BC		2012-08
PG-12-BW-167800|Botswana|Botswana|2012-09	Botswana	Botswana	C		2012-09
PG-12-BW-870677|Botswana|Botswana|2012-07	Botswana	Botswana	C		2012-07
PG-12-BW-438126|Botswana|Botswana|2012-06	Botswana	Botswana	C		2012-06
PG-12-BW-526125|Botswana|Botswana|2012-04	Botswana	Botswana	C		2012-04
PG-12-BW-335215|Botswana|Botswana|2012-05	Botswana	Botswana	C		2012-05
PG-13-BW-373868|Botswana|Botswana|2013-02	Botswana	Botswana	C		2013-02
PG-13-BW-765157|Botswana|Botswana|2013-03	Botswana	Botswana	C		2013-03
PG-13-BW-412327|Botswana|Botswana|2013-03	Botswana	Botswana	08_BC		2013-03
PG-13-BW-327455|Botswana|Botswana|2013-04	Botswana	Botswana	08_BC		2013-04
PG-12-BW-265581|Botswana|Botswana|2012-05	Botswana	Botswana	C		2012-05
PG-12-BW-423017|Botswana|Botswana|2012-09	Botswana	Botswana	C		2012-09
PG-12-BW-656661|Botswana|Botswana|2012-10	Botswana	Botswana	C		2012-10
PG-12-BW-527070|Botswana|Botswana|2012-04	Botswana	Botswana	C		2012-04
PG-13-BW-504160|Botswana|Botswana|2013-04	Botswana	Botswana	C		2013-04
PG-13-BW-076778|Botswana|Botswana|2013-04	Botswana	Botswana	C		2013-04
PG-12-BW-407603|Botswana|Botswana|2012-03	Botswana	Botswana	B		2012-03
PG-12-BW-772770|Botswana|Botswana|2012-07	Botswana	Botswana	C		2012-07
PG-12-BW-834547|Botswana|Botswana|2012-10	Botswana	Botswana	C		2012-10
PG-12-BW-816116|Botswana|Botswana|2012-09	Botswana	Botswana	C		2012-09
PG-12-BW-810317|Botswana|Botswana|2012-06	Botswana	Botswana	C		2012-06
PG-12-BW-862018|Botswana|Botswana|2012-09	Botswana	Botswana	08_BC		2012-09
PG-13-BW-228534|Botswana|Botswana|2013-02	Botswana	Botswana	08_BC		2013-02
PG-12-BW-733418|Botswana|Botswana|2012-09	Botswana	Botswana	C		2012-09
PG-12-BW-043125|Botswana|Botswana|2012-04	Botswana	Botswana	08_BC		2012-04
PG-12-BW-855583|Botswana|Botswana|2012-09	Botswana	Botswana	C		2012-09
PG-12-BW-875714|Botswana|Botswana|2012-04	Botswana	Botswana	08_BC		2012-04
PG-12-BW-237638|Botswana|Botswana|2012-04	Botswana	Botswana	C		2012-04
PG-12-BW-835545|Botswana|Botswana|2012-05	Botswana	Botswana	C		2012-05
PG-12-BW-136648|Botswana|Botswana|2012-11	Botswana	Botswana	C		2012-11
PG-12-BW-388830|Botswana|Botswana|2012-06	Botswana	Botswana	08_BC		2012-06
PG-12-BW-522285|Botswana|Botswana|2012-04	Botswana	Botswana	C		2012-04
PG-13-BW-456488|Botswana|Botswana|2013-02	Botswana	Botswana	C		2013-02
PG-13-BW-157201|Botswana|Botswana|2013-04	Botswana	Botswana	C		2013-04
PG-13-BW-387161|Botswana|Botswana|2013-04	Botswana	Botswana	C		2013-04
PG-12-BW-016351|Botswana|Botswana|2012-04	Botswana	Botswana	C		2012-04
PG-13-BW-076530a|Botswana|Botswana|2013-03	Botswana	Botswana	C		2013-03
PG-13-BW-076530b|Botswana|Botswana|2013-03	Botswana	Botswana	C		2013-03
PG-12-BW-738810|Botswana|Botswana|2012-09	Botswana	Botswana	C		2012-09
PG-12-BW-386683|Botswana|Botswana|2012-09	Botswana	Botswana	08_BC		2012-09
PG-12-BW-721264|Botswana|Botswana|2012-10	Botswana	Botswana	C		2012-10
PG-12-BW-613864|Botswana|Botswana|2012-10	Botswana	Botswana	C		2012-10
PG-12-BW-502756|Botswana|Botswana|2012-10	Botswana	Botswana	61_BC		2012-10
PG-13-BW-123072|Botswana|Botswana|2013-04	Botswana	Botswana	C		2013-04
PG-13-BW-526463|Botswana|Botswana|2013-11	Botswana	Botswana	C		2013-11
PG-15-BW-642528|Botswana|Botswana|2015-12	Botswana	Botswana	08_BC		2015-12
PG-13-BW-214786|Botswana|Botswana|2013-11	Botswana	Botswana	08_BC		2013-11
PG-13-BW-067855a|Botswana|Botswana|2013-11	Botswana	Botswana	C		2013-11
PG-13-BW-067855b|Botswana|Botswana|2013-11	Botswana	Botswana	C		2013-11
PG-13-BW-034766|Botswana|Botswana|2013-11	Botswana	Botswana	C		2013-11
PG-13-BW-385675|Botswana|Botswana|2013-10	Botswana	Botswana	C		2013-10
PG-13-BW-588652|Botswana|Botswana|2013-11	Botswana	Botswana	08_BC		2013-11
PG-13-BW-857662|Botswana|Botswana|2013-11	Botswana	Botswana	C		2013-11
PG-13-BW-800578|Botswana|Botswana|2013-11	Botswana	Botswana	08_BC		2013-11
PG-13-BW-886366|Botswana|Botswana|2013-11	Botswana	Botswana	C		2013-11
PG-13-BW-041625|Botswana|Botswana|2013-11	Botswana	Botswana	C		2013-11
